Order Number;Supplier Number;Supplier;Product Article Number;Ordered Product;Ordered Product - Supplement;Original Ordered Quantity;Original Desired Date;Planned Delivery Date;Ordered Quantity;Arrival Date;Delivered Quantity
8112273;72156;22740983;425300072071800;Verbinder 6x60x260;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);76.0;2024-02-20;2024-02-20;76.0;2024-02-22T00:00:00.000;76.0
8112273;72156;22740983;425300076078702;Pressrahmen;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);76.0;2024-02-20;2024-02-20;76.0;2024-02-22T00:00:00.000;76.0
8112273;72156;22740983;425300076078701;Pressrahmen;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);76.0;2024-02-20;2024-02-20;76.0;2024-02-22T00:00:00.000;76.0
8111852;72156;22740983;425300072074200;Montageplatte;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-06-05;2023-06-05;1.0;2023-06-08T00:00:00.000;1.0
8111852;72156;22740983;425300076084100;Presseisen;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-06-05;2023-06-05;1.0;2023-06-08T00:00:00.000;1.0
8111852;72156;22740983;425300076083700;Fusswinkel;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);2.0;2023-06-05;2023-06-05;2.0;2023-06-08T00:00:00.000;2.0
8111852;72156;22740983;425300076083900;Abdeckung;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-06-05;2023-06-05;1.0;2023-06-08T00:00:00.000;1.0
8111852;72156;22740983;425300076083800;Halter;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-06-05;2023-06-05;1.0;2023-06-08T00:00:00.000;1.0
8111852;72156;22740983;425300072074300;Bodenabdeckung [NUM],5x65x287;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);16.0;2023-08-14;2023-08-14;16.0;2023-08-18T00:00:00.000;16.0
8111852;72156;22740983;PRÜFBERICHT;Erstmusterprüfbericht;pro Artikel;9.0;2023-06-05;2023-06-05;9.0;2023-06-08T00:00:00.000;9.0
8111853;71637;37179886;424108102005500;3ph-Kondensator 3x16µF / 750V AC;3x16A max;30.0;2023-06-05;2023-06-05;30.0;2023-06-05T00:00:00.000;30.0
8111854;70381;77696741;422807301001900;Stromverteilungsblock 600V;([NUM])[NUM]-[NUM],5mm² X ([NUM])[NUM]-[NUM],5mm²;6.0;2023-06-14;2023-06-14;6.0;2023-06-13T00:00:00.000;6.0
8111854;70381;77696741;422807301001900;Stromverteilungsblock 600V;([NUM])[NUM]-[NUM],5mm² X ([NUM])[NUM]-[NUM],5mm²;96.0;2023-08-24;2023-08-24;96.0;2023-08-23T00:00:00.000;60.0
8111855;71066;82882255;422400044024600;Anschlusskasten, Bohrbild;Z: [NUM] [NUM]-[NUM] Rev.[NUM];1.0;2023-06-05;2023-06-05;1.0;2023-05-26T00:00:00.000;1.0
8111855;71066;82882255;422400044024600;Anschlusskasten, Bohrbild;Z: [NUM] [NUM]-[NUM] Rev.[NUM];16.0;2023-08-14;2023-08-14;16.0;2023-08-11T00:00:00.000;16.0
8111856;70963;44912750;422907500007300;Gegenmutter [CODE],[NUM];Gewinde n. EN [NUM];100.0;2023-06-05;2023-06-05;100.0;2023-06-07T00:00:00.000;100.0
8111856;70963;44912750;222900000021800;Druckausgleichselement;"[CODE],[NUM] ; Edelstahl";50.0;2023-06-05;2023-06-05;50.0;2023-06-07T00:00:00.000;50.0
8111856;70963;44912750;422907501004700;Dichteinsatz [CODE] [CODE];für [CODE]/[CODE] D=[NUM],[NUM]-[NUM],[NUM];102.0;2023-06-05;2023-06-05;102.0;2023-06-07T00:00:00.000;102.0
8111856;70963;44912750;422907500016100;Gegenmutter [CODE],[NUM] [NUM]-KT;Gew:EN [NUM];50.0;2023-06-05;2023-06-05;50.0;2023-06-07T00:00:00.000;50.0
